9,10,0,0,0,3,2,11,8,0,0,12,14,16,0,0
3,11,0,7,12,8,6,13,14,4,1,16,9,5,15,0
8,13,6,0,16,14,4,1,9,15,10,5,3,7,2,0
0,0,4,0,5,9,15,10,3,2,11,7,8,0,0,0
0,8,7,11,13,6,12,14,4,16,9,1,15,0,5,3
0,0,0,0,1,4,16,9,15,5,3,10,2,0,7,8
4,9,16,0,10,15,5,0,0,0,0,0,0,0,0,14
15,3,0,0,0,0,0,0,0,12,14,13,4,1,16,9
12,4,0,0,0,16,1,15,5,10,2,3,7,8,11,6
0,0,0,3,0,7,11,6,12,0,4,14,16,9,1,15
0,15,1,0,3,5,10,2,7,11,6,8,12,14,13,4
0,6,11,0,14,12,13,4,16,1,15,9,5,3,10,0
1,0,9,0,0,10,3,7,11,8,12,6,13,4,14,0
11,0,8,6,0,13,14,16,0,9,5,15,10,2,3,0
13,0,0,4,0,0,0,0,10,3,7,2,11,6,8,0
0,0,0,2,6,11,8,0,13,14,0,0,0,15,0,5
